model,tau,family,n,filtered,unfiltered,gain
perslay_z_dtm_k5,0.0,lgcp,12281,0.40862902521820005,0.40862902521820005,0.0
perslay_z_dtm_k5,0.3,thomas,5913,0.6880979798539856,0.6839441862238101,-0.004153793630175429
perslay_z_dtm_k5,0.3,nested,10782,0.5290613011620791,0.5281393086850257,-0.0009219924770533794
perslay_z_dtm_k5,0.3,matern2,19840,0.17528516804845093,0.17790841437087196,0.00262324632242103
perslay_z_dtm_k5,0.3,lgcp,11498,0.3948142848122627,0.3928234975744198,-0.001990787237842906
perslay_z_dtm_k5,0.5,thomas,4940,0.6701052921366649,0.6572622675608323,-0.01284302457583264
perslay_z_dtm_k5,0.5,nested,11698,0.5479419477707107,0.544060366863846,-0.0038815809068647456
perslay_z_dtm_k5,0.5,matern2,18331,0.17317224208250548,0.16888021801171016,-0.0042920240707953194
perslay_z_dtm_k5,0.5,lgcp,11600,0.40792034208287536,0.39669890517909573,-0.011221436903779636
perslay_z_dtm_k5,0.7,thomas,8005,0.6040614057377061,0.5872329959067485,-0.01682840983095757
perslay_z_dtm_k5,0.7,nested,6675,0.4925384956312512,0.4941747952577084,0.0016362996264572272
perslay_z_dtm_k5,0.7,matern2,18259,0.17487959699580347,0.16957142153764665,-0.005308175458156816
perslay_z_dtm_k5,0.7,lgcp,10721,0.4010676340177075,0.3858323535312341,-0.015235280486473435
perslay_z_dtm_k5,0.9,thomas,7057,0.5699577999756995,0.5472706337563481,-0.022687166219351407
perslay_z_dtm_k5,0.9,nested,6837,0.5017956469428722,0.5062549013239772,0.00445925438110506
perslay_z_dtm_k5,0.9,matern2,18234,0.1764017362339237,0.17015290465089755,-0.006248831583026138
perslay_z_dtm_k5,0.9,lgcp,9338,0.37576912747450936,0.35681588297713285,-0.01895324449737651
perslay_z_dtm_k10,0.0,thomas,4291,0.6219776820562702,0.6219776820562702,0.0
perslay_z_dtm_k10,0.0,nested,14027,0.5890900997643285,0.5890900997643285,0.0
perslay_z_dtm_k10,0.0,matern2,20334,0.17392808407353652,0.17392808407353652,0.0
perslay_z_dtm_k10,0.0,lgcp,11676,0.4031093533106828,0.4031093533106828,0.0
